s`,n`,M`
0,637.5,0
0.01,631.125,46.9976086271936
0.02,624.75,93.7302483499823
0.03,618.375,139.937906558996
0.04,612,185.370289813453
0.0442152707579361,609.312764891816,204.231284916201
0.05,605.625,229.791212704467
0.06,599.25,272.982456497106
0.07,592.875,314.746974868648
0.08,586.5,354.911363567228
0.09,580.125,393.327552765281
0.1,573.75,429.873721811219
0.11,567.375,464.454472975884
0.12,561,497.000331359369
0.13,554.625,527.466660953837
0.14,548.25,555.83210142227
0.15,541.875,582.096636717938
0.16,535.5,606.279406123153
0.17,529.125,628.416361929679
0.18,522.75,648.55786732182
0.19,516.375,666.766314579824
0.2,510,683.113828896058
0.21,503.625,697.680108072741
0.22,497.25,710.55043406717
0.23,490.875,721.813879415042
0.24,484.5,731.561720388584
0.25,478.125,739.886059512388
0.26,471.75,746.878652775503
0.27,465.375,752.629931430355
0.28,459,757.228204465407
0.29,452.625,760.759025443946
0.3,446.25,763.304706166571
0.31,439.875,764.94395929641
0.32,433.5,765.751652460277
0.325610453896435,429.923335641023,765.867318435754
0.33,427.125,765.798657209592
0.34,420.75,765.151777426787
0.35,414.375,763.873743161686
0.36,408,762.023257372838
0.37,401.625,759.655084551502
0.38,395.25,756.820171663844
0.39,388.875,753.565793220745
0.4,382.5,749.935713550185
0.41,376.125,745.970360491279
0.42,369.75,741.707005747088
0.43,363.375,737.179948026748
0.44,357,732.420695881834
0.45,350.625,727.458147805557
0.46,344.25,722.318767726032
0.47,337.875,717.026754497048
0.48,331.5,711.604204381935
0.49,325.125,706.071265848416
0.5,318.75,700.446286254292
0.51,312.375,694.745950214142
0.52,306,688.98540960378
0.53,299.625,683.178405289017
0.54,293.25,677.337380764407
0.55,286.875,671.473587961459
0.56,280.5,665.59718553887
0.57,274.125,659.717330003507
0.58,267.75,653.842260033516
0.59,261.375,647.979374386799
0.6,255,642.135303781497
0.61,248.625,636.315977131967
0.62,242.25,630.526682515637
0.63,235.875,624.772123234324
0.64,229.5,619.056469319187
0.65,223.125,613.38340481229
0.66,216.75,607.756171140425
0.67,210.375,602.177606878942
0.68,204,596.650184185267
0.69,197.625,591.176042163849
0.7,191.25,585.757017406754
0.71,184.875,580.394671937102
0.72,178.5,575.090318766289
0.73,172.125,569.84504526038
0.74,165.75,564.659734496339
0.75,159.375,559.535084774933
0.76,153,554.471627444096
0.77,146.625,549.469743174408
0.78,140.25,544.529676816969
0.79,133.875,539.651550963449
0.8,127.5,534.835378318266
0.81,121.125,530.081072983839
0.82,114.75,525.388460751474
0.83,108.375,520.757288482739
0.84,102,516.18723265907
0.85,95.625,511.677907170817
0.86,89.25,507.228870410928
0.87,82.875,502.839631732941
0.88,76.5,498.509657327892
0.89,70.125,494.238375570113
0.9,63.75,490.0251818776
0.91,57.375,485.86944312879
0.92,51,481.770501673938
0.93,44.625,477.727678976096
0.94,38.25,473.740278913635
0.95,31.875,469.807590773562
0.96,25.5,465.928891962362
0.97,19.125,462.1034504588
0.98,12.75,458.330527031047
0.99,6.37500000000001,454.609377238558
1,0,450.939253237398
