s`,n`,M`
0,750,0
0.01,742.5,18.4451428227868
0.02,735,36.8742419532454
0.03,727.5,55.2713001816778
0.04,720,73.6204129811214
0.05,712.5,91.9058141453461
0.06,705,110.111920590989
0.07,697.5,128.223376058715
0.08,690,146.225093459575
0.09,682.5,164.102295626549
0.1,675,181.840554247292
0.11,667.5,199.425826772217
0.112748940432737,665.438294675447,204.231284916201
0.12,660,216.844491111906
0.13,652.5,234.083377959144
0.14,645,251.129800593351
0.15,637.5,267.971582048532
0.16,630,284.59707954967
0.17,622.5,300.995206146556
0.18,615,317.155449498008
0.19,607.5,333.067887782943
0.2,600,348.723202737702
0.21,592.5,364.112689840942
0.22,585,379.22826568827
0.23,577.5,394.062472618223
0.24,570,408.608480669206
0.25,562.5,422.860086963297
0.26,555,436.811712627407
0.27,547.5,450.45839737504
0.28,540,463.795791882803
0.29,532.5,476.82014810484
0.3,525,489.528307675534
0.31,517.5,501.917688556182
0.32,510,513.986270084976
0.33,502.5,525.732576591526
0.34,495,537.155659737575
0.35,487.5,548.25507974443
0.36,480,559.030885665242
0.37,472.5,569.483594856597
0.38,465,579.614171799235
0.39,457.5,589.424006412014
0.4,450,598.914891996854
0.41,442.5,608.089002945272
0.42,435,616.948872329491
0.43,427.5,625.497369493073
0.44,420,633.7376777477
0.45,412.5,641.673272274211
0.46,405,649.307898317414
0.47,397.5,656.645549755639
0.48,390,663.690448117487
0.49,382.5,670.447022109959
0.5,375,676.919887714043
0.51,367.5,683.113828896058
0.52,360,689.033778975616
0.53,352.5,694.684802683932
0.54,345,700.072078939565
0.55,337.5,705.200884362358
0.56,330,710.076577540518
0.57,322.5,714.704584060383
0.58,315,719.090382303412
0.59,307.5,723.239490010467
0.6,300,727.157451609299
0.61,292.5,730.849826297519
0.62,285,734.32217687003
0.63,277.5,737.580059277045
0.64,270,740.629012896272
0.65,262.5,743.474551500728
0.66,255,746.122154901787
0.67,247.5,748.577261245559
0.68,240,750.845259939486
0.69,232.5,752.931485185044
0.7,225,754.841210091742
0.71,217.5,756.579641347111
0.72,210,758.151914417068
0.73,202.5,759.563089250918
0.74,195,760.818146465331
0.75,187.5,761.921983981783
0.76,180,762.879414092286
0.77,172.5,763.695160928648
0.78,165,764.373858311029
0.79,157.5,764.920047952141
0.8,150,765.338177994113
0.81,142.5,765.632601855779
0.82,135,765.807577368871
0.83,127.5,765.867266182433
0.83030665743591,127.270006923068,765.867318435754
0.84,120,765.815733415577
0.85,112.5,765.656947539545
0.86,105,765.394780470887
0.87,97.5,765.033007858426
0.88,90,764.575309547523
0.89,82.5,764.025270205994
0.9,75,763.386380096886
0.91,67.5,762.662035984099
0.92,60,761.855542157677
0.93,52.5,760.970111566337
0.94,45,760.008867045583
0.95,37.5,758.974842630471
0.96,30,757.870984942796
0.97,22.5,756.700154643152
0.98,15,755.465127938973
0.99,7.50000000000001,754.168598140266
1,0,752.813177255364
