s,n,M,M`
-0.28,960,-765.815733415577,-96.3021198400449
-0.27676888581197,957.576664358977,-765.867318435754,-97.4173110594344
-0.27,952.5,-765.632601855779,-99.8389722026866
-0.26,945,-764.373858311029,-103.644261818496
-0.25,937.5,-761.921983981783,-107.749590399624
-0.24,930,-758.151914417068,-112.191692738333
-0.23,922.5,-752.931485185044,-117.013515853721
-0.22,915,-746.122154901787,-122.265580155499
-0.21,907.5,-737.580059277044,-128.007711705835
-0.2,900,-727.157451609299,-134.311267964133
-0.19,892.5,-714.704584060383,-141.26202719278
-0.18,885,-700.072078939565,-148.963981209608
-0.17,877.5,-683.113828896058,-157.544373687643
-0.16,870,-663.690448117486,-167.160479617942
-0.15,862.5,-641.673272274211,-178.008854591813
-0.14,855,-616.948872329491,-190.338141848552
-0.13,847.5,-589.424006412014,-204.467086761355
-0.12,840,-559.030885665242,-220.810296799692
-0.11,832.5,-525.732576591526,-239.915697971448
-0.1,825,-489.528307675534,-262.519869290644
-0.0900000000000001,817.5,-450.45839737504,-289.630819834179
-0.0800000000000001,810,-408.608480669206,-322.652236516559
-0.0700000000000001,802.5,-364.112689840942,-363.566043067224
-0.0600000000000001,795,-317.155449498008,-415.175517257923
-0.05,787.5,-267.971582048532,-481.302135211276
-0.04,780,-216.844491111906,-566.249764556622
-0.0375829801442457,778.187235108184,-204.231284916201,-589.874542325345
-0.03,772.5,-164.102295626549,-669.893157742232
-0.02,765,-110.111920590989,-760.051271321873
-0.0176740993768812,763.255574532661,-97.4173110594344,-765.867318435754
-0.01,757.5,-55.2713001816778,-656.492505765605
-0.00240000000000009,751.8,-13.2814304976846,-204.231284916201
0,750,0,0
0.01,742.5,55.2713001816778,656.492505765605
0.02,735,110.111920590989,760.051271321873
0.03,727.5,164.102295626549,669.893157742232
0.04,720,216.844491111906,566.249764556622
0.0499999999999999,712.5,267.971582048532,481.302135211277
0.0599999999999999,705,317.155449498008,415.175517257924
0.07,697.5,364.112689840942,363.566043067225
0.08,690,408.608480669205,322.65223651656
0.09,682.5,450.45839737504,289.630819834179
0.1,675,489.528307675533,262.519869290645
0.11,667.5,525.732576591526,239.915697971448
0.12,660,559.030885665242,220.810296799692
0.13,652.5,589.424006412014,204.467086761356
0.14,645,616.948872329491,190.338141848552
0.15,637.5,641.673272274211,178.008854591813
0.16,630,663.690448117487,167.160479617942
0.17,622.5,683.113828896058,157.544373687643
0.18,615,700.072078939565,148.963981209608
0.19,607.5,714.704584060383,141.26202719278
0.2,600,727.157451609299,134.311267964133
0.21,592.5,737.580059277044,128.007711705835
0.22,585,746.122154901787,122.265580155499
0.23,577.5,752.931485185044,117.013515853721
0.24,570,758.151914417068,112.191692738333
0.25,562.5,761.921983981783,107.749590399624
0.26,555,764.373858311029,103.644261818496
0.27,547.5,765.632601855779,99.8389722026866
0.28,540,765.815733415577,96.3021198400449
0.29,532.5,765.033007858426,93.0063733909095
0.3,525,763.386380096886,89.9279768276015
0.31,517.5,760.970111566337,87.0461853539648
0.32,510,757.870984942796,84.3428044897449
0.33,502.5,754.168598140266,81.8018110322704
0.34,495,749.935713550185,79.4090394675122
0.35,487.5,745.23864291992,77.1519210529476
0.36,480,740.137652166884,75.0192655599797
0.37,472.5,734.687373785465,73.0010777753755
0.38,465,728.937217349793,71.0884024860563
0.39,457.5,722.931770987431,69.273192930858
0.4,450,716.711188647329,67.5481986855146
0.41,442.5,710.31155956285,65.9068697188642
0.42,435,703.765257569735,64.3432739681441
0.43,427.5,697.101268928659,62.8520262660148
0.44,420,690.345498067396,61.4282268394538
0.45,412.5,683.52105123813,60.0674079120654
0.46,405,676.648498515602,58.7654871928723
0.47,397.5,669.746114871072,57.5187272388099
0.48,390,662.830101270167,56.3236998446125
0.49,382.5,655.914786880417,55.1772547501345
0.5,375,649.012813553455,54.0764920673114
0.51,367.5,642.135303781497,53.0187379216022
0.52,360,635.292013328904,52.0015228795718
0.53,352.5,628.49146971634,51.0225627982081
0.54,345,621.741097694383,50.0797417849777
0.55,337.5,615.047332790901,49.1710970023923
0.56,330,608.415723956507,48.2948050885194
0.57,322.5,601.851026268083,47.4491699966391
0.58,315,595.357284584357,46.6326120841489
0.59,307.5,588.937908981579,45.8436583036486
0.6,300,582.595742732838,45.0809333685795
0.61,292.5,576.333123532439,44.3431517823939
0.62,285,570.151938607601,43.6291106344388
0.63,277.5,564.053674303997,42.9376830779404
0.64,270,558.039460679499,42.2678124159717
0.65,262.5,552.110111592,41.618506730343
0.66,255,546.266160722343,40.9888339961854
0.67,247.5,540.507893932128,40.3779176317855
0.68,240,534.835378318266,39.7849324391233
0.69,232.5,529.248488291567,39.209100895699
0.7,225,523.746928975016,38.6496897627106
0.71,217.5,518.330257188703,38.1060069785562
0.72,210,512.99790026225,37.5773988100643
0.73,202.5,507.749172891907,37.0632472368606
