s,n,M,M`
0,750,0,0
0.01,742.5,55.2713001816777,1.67920032518462
0.02,735,110.111920590989,3.35838854186024
0.03,727.5,164.102295626549,5.03755254180887
0.04,720,216.844491111906,6.71668021739462
0.05,712.5,267.971582048532,8.39575946185464
0.06,705,317.155449498008,10.0747781695901
0.07,697.5,364.112689840942,11.7537242364572
0.08,690,408.608480669206,13.4325855600576
0.09,682.5,450.45839737504,15.1113500400298
0.1,675,489.528307675533,16.790005578339
0.11,667.5,525.732576591526,18.4685400795683
0.12,660,559.030885665242,20.1469414512088
0.13,652.5,589.424006412014,21.8251976039495
0.14,645,616.948872329491,23.5032964519682
0.15,637.5,641.673272274211,25.1812259132204
0.16,630,663.690448117486,26.8589739097298
0.17,622.5,683.113828896058,28.5365283678775
0.18,615,700.072078939565,30.2138772186912
0.19,607.5,714.704584060383,31.8910083981342
0.2,600,727.157451609299,33.5679098473947
0.21,592.5,737.580059277044,35.2445695131736
0.22,585,746.122154901787,36.9209753479734
0.23,577.5,752.931485185044,38.5971153103857
0.24,570,758.151914417068,40.272977365379
0.25,562.5,761.921983981783,41.9485494845864
0.26,555,764.373858311029,43.6238196465921
0.27,547.5,765.632601855779,45.2987758372181
0.28,540,765.815733415577,46.9734060498108
0.29,532.5,765.033007858426,48.6476982855269
0.3,525,763.386380096886,50.3216405536184
0.31,517.5,760.970111566337,51.9952208717184
0.32,510,757.870984942796,53.6684272661252
0.33,502.5,754.168598140266,55.3412477720871
0.34,495,749.935713550185,57.0136704340857
0.35,487.5,745.23864291992,58.6856833061196
0.36,480,740.137652166884,60.3572744519871
0.37,472.5,734.687373785465,62.0284319455686
0.38,465,728.937217349793,63.6991438711086
0.39,457.5,722.931770987431,65.3693983234967
0.4,450,716.711188647329,67.0391834085489
0.41,442.5,710.31155956285,68.7084872432875
0.42,435,703.765257569735,70.3772979562209
0.43,427.5,697.101268928659,72.0456036876229
0.44,420,690.345498067396,73.7133925898111
0.45,412.5,683.52105123813,75.3806528274247
0.46,405,676.648498515602,77.0473725777022
0.47,397.5,669.746114871071,78.7135400307579
0.48,390,662.830101270167,80.3791433898578
0.49,382.5,655.914786880417,82.0441708716953
0.5,375,649.012813553455,83.7086107066658
0.51,367.5,642.135303781497,85.3724511391408
0.52,360,635.292013328904,87.035680427741
0.53,352.5,628.49146971634,88.6982868456096
0.54,345,621.741097694383,90.3602586806833
0.55,337.5,615.047332790901,92.0215842359645
0.56,330,608.415723956507,93.6822518297909
0.57,322.5,601.851026268083,95.3422497961057
